INFO - 2024-10-02 19:55:46,381 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: /createorder
INFO - 2024-10-02 19:55:46,439 - logger.logging_config - outline_manager.py - line: 27 - Initialized 1 servers.
INFO - 2024-10-02 19:55:53,208 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: select_server:4e87831f-ddce-48b6-8ad3-97ab238210da:5
INFO - 2024-10-02 19:55:55,341 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: service:1:4e87831f-ddce-48b6-8ad3-97ab238210da
INFO - 2024-10-02 19:55:58,306 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: None
INFO - 2024-10-02 19:55:58,486 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: None
INFO - 2024-10-02 19:55:58,555 - logger.logging_config - services.py - line: 17 - Transaction started for adding user and service.
INFO - 2024-10-02 19:55:58,629 - logger.logging_config - outline_manager.py - line: 27 - Initialized 1 servers.
ERROR - 2024-10-02 19:55:59,585 - logger.logging_config - send_sms_admins.py - line: 22 - Failed to send notification to group -4541906203: Telegram server says - Bad Request: chat not found
INFO - 2024-10-02 19:56:07,744 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: /subs
INFO - 2024-10-02 19:56:45,565 - logger.logging_config - main.py - line: 37 - Starting bot
INFO - 2024-10-02 19:56:46,038 - logger.logging_config - subscription_checker.py - line: 115 - Running subscription checker...
INFO - 2024-10-02 19:56:56,403 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: /subs
INFO - 2024-10-02 19:56:58,277 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: /createorder
INFO - 2024-10-02 19:56:58,342 - logger.logging_config - outline_manager.py - line: 27 - Initialized 1 servers.
INFO - 2024-10-02 19:57:04,704 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: /support
INFO - 2024-10-02 19:57:17,190 - logger.logging_config - main.py - line: 37 - Starting bot
INFO - 2024-10-02 19:57:17,739 - logger.logging_config - subscription_checker.py - line: 115 - Running subscription checker...
INFO - 2024-10-02 19:57:23,056 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: /subs
INFO - 2024-10-02 19:57:26,742 - logger.logging_config - logging_middleware.py - line: 20 - Пользователь qvvan (ID: 323993202) отправил сообщение: /support
INFO - 2024-10-02 19:57:28,110 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: install_guide
INFO - 2024-10-02 19:57:29,017 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: low_speed
INFO - 2024-10-02 19:57:29,818 - logger.logging_config - logging_middleware.py - line: 36 - Пользователь qvvan (ID: 323993202) нажал кнопку: vpn_issue
INFO - 2024-10-02 19:58:18,317 - logger.logging_config - main.py - line: 37 - Starting bot
INFO - 2024-10-02 19:58:18,869 - logger.logging_config - subscription_checker.py - line: 115 - Running subscription checker...
INFO - 2024-10-02 19:58:24,009 - logger.logging_config - subscription_checker.py - line: 115 - Running subscription checker...
INFO - 2024-10-02 19:58:29,138 - logger.logging_config - subscription_checker.py - line: 115 - Running subscription checker...
INFO - 2024-10-02 19:58:34,281 - logger.logging_config - subscription_checker.py - line: 115 - Running subscription checker...
INFO - 2024-10-02 19:58:39,432 - logger.logging_config - subscription_checker.py - line: 115 - Running subscription checker...
INFO - 2024-10-02 19:58:44,604 - logger.logging_config - subscription_checker.py - line: 115 - Running subscription checker...
INFO - 2024-10-02 19:58:49,780 - logger.logging_config - subscription_checker.py - line: 115 - Running subscription checker...
INFO - 2024-10-02 19:58:54,959 - logger.logging_config - subscription_checker.py - line: 115 - Running subscription checker...
INFO - 2024-10-02 19:59:00,128 - logger.logging_config - subscription_checker.py - line: 115 - Running subscription checker...
INFO - 2024-10-02 19:59:05,277 - logger.logging_config - subscription_checker.py - line: 115 - Running subscription checker...
INFO - 2024-10-02 19:59:10,433 - logger.logging_config - subscription_checker.py - line: 115 - Running subscription checker...
INFO - 2024-10-02 19:59:15,591 - logger.logging_config - subscription_checker.py - line: 115 - Running subscription checker...
INFO - 2024-10-02 19:59:20,779 - logger.logging_config - subscription_checker.py - line: 115 - Running subscription checker...
